update_id,tx_type,effective_at,fetched_at,response_kb,request_kb,base_kb
1220f775ff3445b53332f17a79364ecb3eb361a0bfbf579f618e3d1aeb4d55eb9ad7,reward_coupon,2026-04-13T01:08:38.838261Z,2026-04-13T03:41:35.320Z,29.70,0.19,29.90
12206e34c36ddc39522fc07c43b70cf130bafe4f9c94d5ceb736da1302ffd16e02d0,reward_coupon,2026-04-13T01:08:38.712694Z,2026-04-13T03:41:35.348Z,27.28,0.19,27.48
122031805731dd9c1ebefb87c13cd5adc279552cc343e486842648720431469c50fc,reward_coupon,2026-04-13T01:08:39.619983Z,2026-04-13T03:41:35.362Z,32.60,0.19,32.79
122042702e9ec11948a8f763253f00b1de40cd3402ad95d8df1432cf2477e6786323,reward_coupon,2026-04-13T01:08:43.444357Z,2026-04-13T03:41:35.388Z,33.56,0.19,33.76
12204c66c82dd4f6a75ddeed5bb2ae5b5b014819f7bce0388c4d8ee444d926a5e096,reward_coupon,2026-04-13T01:08:44.665394Z,2026-04-13T03:41:35.390Z,35.49,0.19,35.69
12205319619ae1382dd1912d2e2eb137331839ca13fd4179aa63674b869eca2051a9,reward_coupon,2026-04-13T01:08:45.098638Z,2026-04-13T03:41:35.408Z,28.74,0.19,28.93
122065074b2866aac33de6e9d68ebc8efb3771996757099950577f1640a7c9d3d7d5,reward_coupon,2026-04-13T01:08:48.499420Z,2026-04-13T03:41:35.436Z,2.66,0.19,2.85
12204decc7964a91b4f13cc33d43c585809c86fe4d5caadfdbc571cbdc2decd206ca,reward_coupon,2026-04-13T01:08:57.755585Z,2026-04-13T03:41:35.451Z,28.74,0.19,28.94
12209846dbc5c2474b68609723937f6edabb827617c3e9797b44a5b19cab8c6f0891,reward_coupon,2026-04-13T01:09:03.358604Z,2026-04-13T03:41:35.476Z,21.97,0.19,22.17
122008f442d6cad62211311ac1d10d6ecbd6af7e47a154427baeb6bdd50db88fbdf4,reward_coupon,2026-04-13T01:09:05.178339Z,2026-04-13T03:41:35.480Z,27.29,0.19,27.48
1220c6932da7e5394071e6a8f44bd057abee94431eab172b58ca9b568991915c7931,validator_liveness,2026-04-13T01:09:39.133320Z,2026-04-13T03:41:35.562Z,3.51,0.19,3.71
1220015bdf2152fb87b3ea98a3934c55cd8ad506f876fa92d157c59e8faf7ddbae78,reward_coupon,2026-04-13T01:10:02.488502Z,2026-04-13T03:41:35.640Z,12.81,0.19,13.00
122057e5d472fe06d46beade2edd8dbf9bba23812e4d1e5220f6d530632ace79cfd2,reward_coupon,2026-04-13T01:10:05.502660Z,2026-04-13T03:41:35.643Z,16.18,0.19,16.38
12209a4f46a5ad90c28c983951c1469697278d97afcbb0670caedf5ed59d1d67b189,reward_coupon,2026-04-13T01:10:11.480761Z,2026-04-13T03:41:35.675Z,11.84,0.19,12.03
12201894df76edce5e31eaf945a9c803f55e8bfa9eea61cdb23141893d12ad492e8a,reward_coupon,2026-04-13T01:10:50.070841Z,2026-04-13T03:41:35.779Z,15.70,0.19,15.90
12206278bbfa01cb54d2f0bc62138a3804f8941ef904611d8da7529feb6fca78a57b,reward_coupon,2026-04-13T01:11:10.455235Z,2026-04-13T03:41:35.862Z,7.98,0.19,8.17
1220ebd30d78a5962e22b1e7a0266a5340ff824bcaa6b4b7c7ccf670ce4218bc7329,reward_coupon,2026-04-13T01:14:49.623005Z,2026-04-13T03:41:36.580Z,17.75,0.19,17.95
122012351318e6847041c0c62eb7eea5fda0850e5c2062e9477ed85808f5556b0088,validator_liveness,2026-04-13T01:17:04.209351Z,2026-04-13T03:41:37.010Z,3.51,0.19,3.71
122095e54728fcea99e356107ed12e112f26655bb958a43dc1cb3665c41dbae925dd,validator_reward_coupon,2026-04-13T01:17:36.466299Z,2026-04-13T03:41:37.122Z,4.98,0.19,5.17
1220dc4357af3491e7a98a653b0a62155468da2f664c19518db974430218e061a4f7,validator_liveness,2026-04-13T01:23:12.209248Z,2026-04-13T03:41:38.269Z,3.51,0.19,3.71
1220a96255a69bc34903050dc781c1af34ec45d25b2ddf5629a577b14a57ae82b1dd,reward_coupon,2026-04-13T01:23:22.136597Z,2026-04-13T03:41:38.347Z,31.14,0.19,31.33
12207d5090ba276334c625a89423b0a4c323f35d2f752368c7ca797053a9543954d8,reward_coupon,2026-04-13T01:23:20.962972Z,2026-04-13T03:41:38.347Z,26.79,0.19,26.98
122057e49dd8738c678c943c9a83bd420fd748dc4085d28a8fde2eee593e730c46b6,reward_coupon,2026-04-13T01:23:23.623483Z,2026-04-13T03:41:38.390Z,28.72,0.19,28.91
1220aa07f8d70ac931aa691ae02d57a4286e792b76ca834521ad9fc9dd2f7de6ddfb,reward_coupon,2026-04-13T01:23:34.055039Z,2026-04-13T03:41:38.435Z,33.55,0.19,33.75
1220ca5e3513b82e819ff2d0a9fe780cf08b693352f0995491f8447bdf8f1cfe6eb7,reward_coupon,2026-04-13T01:23:24.381728Z,2026-04-13T03:41:38.436Z,27.76,0.19,27.95
1220f677721828b5335cb46b20f406c6b80c9636cf30c4eb52852f28254a87a8997c,marker,2026-04-13T01:22:53.040020Z,2026-04-13T03:41:38.464Z,877.10,0.19,877.30
12209ce983e23c61e238f7c6f43d4c699544278db24c66e0f10fdc6940d874f765c7,reward_coupon,2026-04-13T01:23:31.790491Z,2026-04-13T03:41:38.467Z,31.13,0.19,31.33
1220127946cf109e8344deed7c58a4d072968563df60e9bd0bf2a76c5f06fcf85c2f,reward_coupon,2026-04-13T01:23:37.050241Z,2026-04-13T03:41:38.477Z,28.23,0.19,28.43
122040fade1540e0563427fc1e921528e3ebd5630aefd6ee6793568346f38717211d,reward_coupon,2026-04-13T01:23:37.663559Z,2026-04-13T03:41:38.522Z,27.75,0.19,27.95
1220016333af4f826c17dc582c4b742c11b102754f602749a31ac097ebbe31d085a7,reward_coupon,2026-04-13T01:23:42.446789Z,2026-04-13T03:41:38.524Z,30.17,0.19,30.36
1220648969acf444e7987cb8393329d665c94ee5abd740cac31876e0ef09e0d4fb02,reward_coupon,2026-04-13T01:23:43.674710Z,2026-04-13T03:41:38.557Z,26.30,0.19,26.50
12207e86894a2bb5da611bb1410d113874aa6a8ad9d229f354a1dd0b4dfe11212684,reward_coupon,2026-04-13T01:23:42.592746Z,2026-04-13T03:41:38.564Z,29.21,0.19,29.40
122071c7c440b9d055267a45cc8890607556478922c5f448b96374c45e18072baae5,reward_coupon,2026-04-13T01:23:57.936150Z,2026-04-13T03:41:38.567Z,27.27,0.19,27.46
1220c6c80c951b3c0d2b5c3a5b9727d6be69afdf63fcc82a178cbfc82be2629ccca6,reward_coupon,2026-04-13T01:24:16.498328Z,2026-04-13T03:41:38.612Z,29.20,0.19,29.40
12202dbb0c90cc055d454f503b03bcf983965a226bf840a03d3cde37f302a8fcb2f1,reward_coupon,2026-04-13T01:24:42.450181Z,2026-04-13T03:41:38.668Z,16.33,0.19,16.53
12207fa9e5e42565c12e5b59dbddd861d312f96c53a81df4c4537308d8cc49405d65,validator_reward_coupon,2026-04-13T01:26:15.432878Z,2026-04-13T03:41:38.972Z,4.98,0.19,5.17
1220530148f92bd141cc38bc21fc8aa4e17c355b1bf6cc7e18983a894c52e9bcf561,reward_coupon,2026-04-13T01:28:18.773838Z,2026-04-13T03:41:39.493Z,23.90,0.19,24.10
1220013864b7bd0d794c0be7e246b5742a7e85e15fd30cc2384de1dd6b16c3c1079b,reward_coupon,2026-04-13T01:28:18.139162Z,2026-04-13T03:41:39.495Z,33.09,0.19,33.28
122053649cbe2c5bf442c9ad2a1bc81836b2091f1d32fdaef4724a9bc8b91e24bef1,reward_coupon,2026-04-13T01:28:18.388163Z,2026-04-13T03:41:39.496Z,25.35,0.19,25.55
1220bfa319250172ee08b3335636223ddf3980222c8d551aef40d9089c66ee44cb07,reward_coupon,2026-04-13T01:28:22.988210Z,2026-04-13T03:41:39.540Z,28.25,0.19,28.45
122085d28cf656425273e7f0a59afd9d7a52591578edf90f84757cd2505a104ff607,reward_coupon,2026-04-13T01:28:23.570918Z,2026-04-13T03:41:39.585Z,33.09,0.19,33.28
12200af00ea709c562746c1128ad89c447a9e9bc10050a0ccc77228ebaddde9886a8,marker,2026-04-13T01:27:58.927449Z,2026-04-13T03:41:39.589Z,923.49,0.19,923.69
12206d61d89fa8cec9b408a44efce4c45a3d74c5e513b88e37687c68e71d90b038d2,reward_coupon,2026-04-13T01:28:26.929371Z,2026-04-13T03:41:39.611Z,29.70,0.19,29.90
1220227a5ed470213872ef1e28e35ead7dfd7efc66f8fe88bc51b1836ab21dcd8a2a,reward_coupon,2026-04-13T01:28:44.227911Z,2026-04-13T03:41:39.627Z,3.14,0.19,3.33
122035e33f6faa076cf4f08d9def259864aec55f1f36ff75e60769432f40ef2d5379,reward_coupon,2026-04-13T01:28:44.836064Z,2026-04-13T03:41:39.639Z,36.95,0.19,37.14
1220d7894a370c5f6122e099e70d2a4ff9469a76d67f11a00b3b2b7ab682fdfe2a9a,reward_coupon,2026-04-13T01:28:49.063533Z,2026-04-13T03:41:39.671Z,29.70,0.19,29.89
1220ca0325280a4b1e8e861d862c69645dfb6c05d922c15c9057d7d83cd0eb1b6800,reward_coupon,2026-04-13T01:28:49.539219Z,2026-04-13T03:41:39.678Z,26.32,0.19,26.52
1220a374bec08601a7032cad1cd84b45b579e2cbf87a3aee6f4aceeba70656b03431,reward_coupon,2026-04-13T01:28:51.693065Z,2026-04-13T03:41:39.699Z,29.22,0.19,29.41
1220725281fe3a20529f0a2ecef7b0150c0d3291ecfa97759e186785473a2d96e5b2,reward_coupon,2026-04-13T01:28:55.064726Z,2026-04-13T03:41:39.718Z,29.70,0.19,29.90
1220b4249dd67c5981d6b8813ee022fd8dd1b320397ca3e157d50b3dfd2e9d782e16,reward_coupon,2026-04-13T01:28:56.371108Z,2026-04-13T03:41:39.725Z,6.04,0.19,6.23
12206e40b17a0a4862663a75ec54dc0370885140d345bf138ed4311b01dc025a4698,reward_coupon,2026-04-13T01:28:58.544272Z,2026-04-13T03:41:39.771Z,30.68,0.19,30.87
122004f75d11ec6f6a914548e2cee3595c8e0f608e7966cc84a7b29fa641da066a61,reward_coupon,2026-04-13T01:29:04.898990Z,2026-04-13T03:41:39.775Z,32.12,0.19,32.31
1220ff9fe7e845e8b67f9956b1b500db76bb91833d92531269f4a2e2f173721fef29,reward_coupon,2026-04-13T01:29:14.939092Z,2026-04-13T03:41:39.789Z,3.14,0.19,3.34
1220405cf5cf8b91f6f0f8cdabdb11906da56e76c547bb7192a7092d81bce02418eb,reward_coupon,2026-04-13T01:29:23.871834Z,2026-04-13T03:41:39.830Z,2.18,0.19,2.37
1220256d7173e64d6bca98bba9d8bbadddfc95b6b2732d5c2b27d91c1ecbf23202ce,reward_coupon,2026-04-13T01:29:28.421459Z,2026-04-13T03:41:39.837Z,2.18,0.19,2.37
12202c93957f441d0e02dea8a26808d483e3227918397c2ac09f5f7a260239400134,reward_coupon,2026-04-13T01:33:13.358110Z,2026-04-13T03:41:40.688Z,17.75,0.19,17.95
12208f658bb32b277ac29e5ef7922a32b6ef7e5233e5fe07211ffcb37d20913d7a1b,reward_coupon,2026-04-13T01:33:15.742692Z,2026-04-13T03:41:40.737Z,33.07,0.19,33.27
1220acbc46df7028dc010add13be14ef61b2e5686796131f70ea13598d065f075701,reward_coupon,2026-04-13T01:33:34.885790Z,2026-04-13T03:41:40.776Z,32.11,0.19,32.30
122000126c392cd66f9770486b85c30debaf29c9a08f2513ec1f5bada29fa2fd3bb3,reward_coupon,2026-04-13T01:33:24.998821Z,2026-04-13T03:41:40.795Z,29.20,0.19,29.39
1220bada1843490751669350a655f92d89e2fb9b9c0f95e5e5dd35e3ad6cd205115d,reward_coupon,2026-04-13T01:33:24.927812Z,2026-04-13T03:41:40.796Z,31.14,0.19,31.33
12209c48b59838b402a9bdacc0369184f5c7c7a67839e537263b9a4ad0cd213b2986,marker,2026-04-13T01:33:03.316621Z,2026-04-13T03:41:40.815Z,923.49,0.19,923.69
122089d7c2593a2802edf9b36ac7e551d7006e5eb9e25fb79e62547410df0acd658f,reward_coupon,2026-04-13T01:33:35.017306Z,2026-04-13T03:41:40.825Z,25.33,0.19,25.53
1220548b643a780423834dad1e228ea2114afe7bca10877cd9c9a2a77d4f5c8a48fd,reward_coupon,2026-04-13T01:33:36.099581Z,2026-04-13T03:41:40.862Z,25.82,0.19,26.01
1220d92bc723db327f616c016e2cedb3a27ca1c2b7717130c5a2744246c616d49caf,reward_coupon,2026-04-13T01:33:39.324486Z,2026-04-13T03:41:40.887Z,32.59,0.19,32.78
122077b7e63344fd42bacd06a1944565bb07293f6f8aec2eaf463da72358fef253c4,reward_coupon,2026-04-13T01:33:38.887853Z,2026-04-13T03:41:40.888Z,32.59,0.19,32.78
12207d04dd99134d3379b76635f71930a3236643f4c6e1f773e2ddd3e1ef5b314308,reward_coupon,2026-04-13T01:33:43.538742Z,2026-04-13T03:41:40.910Z,34.52,0.19,34.71
122078fb5145ad38a8d576970aef5c12447355c54e3a464b5f06be89b85bb0668beb,reward_coupon,2026-04-13T01:33:46.796219Z,2026-04-13T03:41:40.914Z,30.17,0.19,30.36
12200e7d1320dc339a2f9ff833c31471ddeedec739f70689daec8429f6a9cfd5315e,reward_coupon,2026-04-13T01:33:47.292877Z,2026-04-13T03:41:40.952Z,35.97,0.19,36.17
1220e6135aa9dfbe56969936aa63958c86c6d4dbf9409896ca2c89b02e2246c1baca,reward_coupon,2026-04-13T01:34:25.479249Z,2026-04-13T03:41:41.000Z,28.24,0.19,28.43
122015d40d61f0dc8a6af62a0ed7a55a0ee8930f53b8c2b8823310910b101a78c1ff,reward_coupon,2026-04-13T01:33:49.806830Z,2026-04-13T03:41:41.002Z,25.33,0.19,25.53
1220a0fd0578d9f4bb3d9c545191cb7aace86d4e3fcbc8d3eecc7d5005686b41ef2f,validator_reward_coupon,2026-04-13T01:34:52.278532Z,2026-04-13T03:41:41.102Z,4.98,0.19,5.17
1220a16211f643af36dc9644b8bcb791b42be83148e58900bacfc51a5168e7873b17,validator_liveness,2026-04-13T01:37:48.356690Z,2026-04-13T03:41:41.655Z,3.51,0.19,3.71
1220e7562a09f3b720de57e00a721280331183d664110f4a4319cab5a5fa379cb8b5,reward_coupon,2026-04-13T01:38:28.930860Z,2026-04-13T03:41:41.937Z,31.64,0.19,31.83
12205c16d0c79455690b98170d2d456f3b31b617845b81606763ddd2afcd8470631b,reward_coupon,2026-04-13T01:38:42.780890Z,2026-04-13T03:41:42.004Z,27.28,0.19,27.47
1220d439be4b7a99641de710a463114fcc30ed22bd9dc1377f9e10a996a3d052438d,marker,2026-04-13T01:38:09.948191Z,2026-04-13T03:41:42.007Z,925.87,0.19,926.07
12209bcb75e60e522a0cfc59689691cb745e9dad7c4c5dbce5312d43752cc6fab896,reward_coupon,2026-04-13T01:38:40.750720Z,2026-04-13T03:41:42.011Z,29.22,0.19,29.41
1220050c62e4b5ddbee39a3963d9d7b5f4c6b4609d90abf1998f1971cc30fc6eb770,reward_coupon,2026-04-13T01:38:40.823447Z,2026-04-13T03:41:42.011Z,29.70,0.19,29.90
12206b193b8b2f8a524578fa32b7f5f0c09f44a5c5895c06f9095c1e0c6cd0c377cf,reward_coupon,2026-04-13T01:38:42.904509Z,2026-04-13T03:41:42.032Z,26.32,0.19,26.52
122006bc70409c40294d7908a1e9cd1ba769193b1c42316a0e5d4b2f579cb3d9a8a8,reward_coupon,2026-04-13T01:38:50.881297Z,2026-04-13T03:41:42.107Z,30.18,0.19,30.38
