update_id,tx_type,effective_at,fetched_at,request_body_kb,response_body_kb,request_headers_kb,response_headers_kb,base_kb,extra_kb,total_kb
1220aadabc8fdce43e6860d6693f3cbbcf76010c3a551940fc51766658f1726bd9e3,marker,2026-05-07T14:39:24.183482Z,2026-05-08T01:27:14.813Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
1220e19c55c0a90333adc70450559133c3fe7d3d7611c03e819b19c066606a3f045c,marker,2026-05-07T14:44:25.346817Z,2026-05-08T01:27:15.471Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
12205857c7bf1ce4cc2cee147ce5cfce778f74215d579a79d64e797615cfe5d27ba3,marker,2026-05-07T14:49:28.538554Z,2026-05-08T01:27:16.083Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
12200e4673ec76fffa52518e42b79dbf18e3612d40eaa764cf84b85da0eeb01e0289,marker,2026-05-07T14:56:59.371435Z,2026-05-08T01:27:17.241Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
12206926ef53babcd45c15007271e3eddfbbc1766254e989998a17c1402d57cae510,marker,2026-05-07T15:01:59.581305Z,2026-05-08T01:27:17.872Z,0.19,3.26,0.79,0.12,3.46,0.91,4.37
12205c6050bca658febd80947d73f71bdf178e4b4163c27d941ab9161224ce8f43a9,marker,2026-05-07T15:07:03.271141Z,2026-05-08T01:27:18.529Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
122019a5be53ba431ed89660576a6f76f21ceb21e7d9d4510c495489286212e4492c,marker,2026-05-07T15:12:03.045400Z,2026-05-08T01:27:19.159Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
122051adaf7da1b710b28d66b2a2be998575234beee5adf77d49adaae3ab62346976,marker,2026-05-07T15:17:05.900174Z,2026-05-08T01:27:19.838Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220625400fb6b6e8c89d169f3b281553ffc4c28cc61b2868bf9243168c145093f94,marker,2026-05-07T15:22:08.725156Z,2026-05-08T01:27:20.108Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220b16251d17fb1779d59874da5b19da9c893b83b0c13422b989eb707bb4bcd5ac8,marker,2026-05-07T15:27:08.745219Z,2026-05-08T01:27:20.299Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220c3e22b369a6beeb7ea191b7238e6eb23897cf45686c552bbd29521eb5c9846fd,marker,2026-05-07T15:35:08.572198Z,2026-05-08T01:27:21.171Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220c139c852384f5a908e1cbe21d10ef616334052b561c8fbb1e3e8397ad095ca5c,marker,2026-05-07T15:40:12.038286Z,2026-05-08T01:27:21.805Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
12204a3defbbe061f73e978416210304df90d497a59c280d5a96417d9d9bb8254037,marker,2026-05-07T15:45:13.307190Z,2026-05-08T01:27:22.417Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
1220083a57c3a2c6bea3768a7660bb5fa074c48c87f89864337ee7576f79d2119c43,marker,2026-05-07T15:48:20.148061Z,2026-05-08T01:27:22.693Z,0.19,3.26,0.79,0.12,3.46,0.91,4.36
