update_id,tx_type,effective_at,fetched_at,response_kb,request_kb,base_kb
12206f97ab5efe3481df6239bef964e032c2e432343464f425dc901e784ff329bac0,unknown,2026-04-06T12:22:04.433423Z,2026-04-06T12:47:34.911Z,2.20,0.19,2.39
12208ef1f1aac493fb84ce707d67768414f5bdd607a7c7c6bae80080f95a40580b89,reward_coupon,2026-04-06T12:22:05.121979Z,2026-04-06T12:47:34.913Z,1.69,0.19,1.89
1220f696394abe95bbb7e1c5f0be8b1f435a97e92902ac8827fd62d1bf4428ec87b9,unknown,2026-04-06T12:22:13.549942Z,2026-04-06T12:47:34.979Z,2.20,0.19,2.39
12202c314dee61ddfb7f395bb98b0a1df7da369cff65f72838a81a6b1e6f58561e05,unknown,2026-04-06T12:22:13.935680Z,2026-04-06T12:47:34.979Z,2.83,0.19,3.02
1220b12039935f63a1cff1d6147a7253596e491b8e2cdfba62fd1119850e8b25a46d,unknown,2026-04-06T12:22:16.954850Z,2026-04-06T12:47:35.018Z,2.20,0.19,2.39
1220e4db82ca8c03928980d4671947fc07ecd511eee44f2c22977d11067d91fa41ab,unknown,2026-04-06T12:22:20.069245Z,2026-04-06T12:47:35.018Z,2.20,0.19,2.39
1220e794a3dd9444366a4e93f1207c375af474fc2abaaff767be91daa424c01a69ab,reward_coupon,2026-04-06T12:22:19.865249Z,2026-04-06T12:47:35.019Z,1.69,0.19,1.89
12205efd86fb288adc3801e95ed00cbecb4f8dedab13cb47c849136dfba9dad53c21,unknown,2026-04-06T12:22:23.705911Z,2026-04-06T12:47:35.089Z,2.20,0.19,2.39
12204e6a4cf0f0b87ef2404638a5c90c6219cf679c690c3f123ea4395cd0a59ffe15,unknown,2026-04-06T12:22:24.004724Z,2026-04-06T12:47:35.093Z,2.83,0.19,3.03
12202608817abeadac7e45efe3656fe0cf471d501ace9ef7f6e69a23169e6c90e6e6,unknown,2026-04-06T12:22:33.854654Z,2026-04-06T12:47:35.124Z,2.20,0.19,2.39
12208da0e735c12c643c99850283d647f1f47684f2f512107b760533acbe6436659b,unknown,2026-04-06T12:22:27.253122Z,2026-04-06T12:47:35.126Z,2.20,0.19,2.39
1220f85b46dabc2f406eae7c8782f537e0cdd753fd2c005bf3df74d504de1a56a321,unknown,2026-04-06T12:22:30.388617Z,2026-04-06T12:47:35.126Z,2.20,0.19,2.39
1220d0150b502df8d665e74f68307ef9c64034c77e5d238722cf90d002d4125c16af,unknown,2026-04-06T12:22:34.009969Z,2026-04-06T12:47:35.197Z,2.83,0.19,3.03
122098b0e8c4f1d6c4c75011e4a0b0c48686d61e555621f0076044a62390b6ed0c16,reward_coupon,2026-04-06T12:22:35.134441Z,2026-04-06T12:47:35.197Z,1.69,0.19,1.89
1220c3496f8716500963c70add643581f85f79b7250f60d5dce90d41f83537abc87a,unknown,2026-04-06T12:22:43.103084Z,2026-04-06T12:47:35.235Z,2.20,0.19,2.39
1220086af69bf4c370653629a6e8b5837e4a268a51cf8325341e0c2ee09e5f028d77,unknown,2026-04-06T12:22:37.222642Z,2026-04-06T12:47:35.237Z,2.20,0.19,2.39
12207ba0fd6ef312839e20609b577f473afbccdaf58706ce4600d3fb76d59a9131f5,unknown,2026-04-06T12:22:40.125821Z,2026-04-06T12:47:35.240Z,2.20,0.19,2.39
122065d0d9bb5132445c8ed537a35e86e33e8bab98b93c8f80be881778ea7c1b80f6,unknown,2026-04-06T12:22:46.651027Z,2026-04-06T12:47:35.303Z,2.20,0.19,2.39
1220257be9a3a4b632235f266f5422cf8d3405b6b9bac8572f6452a90ed6e4a69b3a,unknown,2026-04-06T12:22:44.076762Z,2026-04-06T12:47:35.304Z,2.83,0.19,3.03
12208c6523e7c2e3457781568c81ad2e79cba755715ab34bfd9358dad3f72c5c56b8,unknown,2026-04-06T12:22:49.551128Z,2026-04-06T12:47:35.344Z,2.20,0.19,2.39
1220b6796af54565a8a795f84164de8b0e35a99debb88e944481d762e0a587d5da4c,reward_coupon,2026-04-06T12:22:50.085528Z,2026-04-06T12:47:35.347Z,1.69,0.19,1.89
12203a6d899801deeb3c3ee4200838a3cddef56d0e1869cd0f407a8ec10ba991799e,unknown,2026-04-06T12:22:52.871048Z,2026-04-06T12:47:35.348Z,2.20,0.19,2.39
12207e34f13429dc1d53f63e7104246697fef498e20c2eca7a07b5f08203e137912d,unknown,2026-04-06T12:22:53.858540Z,2026-04-06T12:47:35.408Z,2.83,0.19,3.03
1220206db775f693cebfa14599161befeb916208d3b92ee962f9a8bb667107c49750,unknown,2026-04-06T12:22:56.040919Z,2026-04-06T12:47:35.409Z,2.20,0.19,2.39
12207da23676d814b47c7caeed655379fda70541bb7356fa7a22f86d3064497974bc,unknown,2026-04-06T12:23:03.929373Z,2026-04-06T12:47:35.456Z,2.83,0.19,3.03
1220828a7eac733cd9be4ac3e77726ed53be98f9fb0584eafb1a835259f88ce2c840,unknown,2026-04-06T12:23:04.217994Z,2026-04-06T12:47:35.456Z,2.20,0.19,2.39
1220a6d4dcc6a4aa775023f3880452772da5782ef2df57727bfb91dd9f685392f0ea,marker,2026-04-06T12:23:00.066715Z,2026-04-06T12:47:35.481Z,281.21,0.19,281.41
1220d0aed8b83cdbe1084a0ace4d903a2101002cb8ba07d142f20d694d2184d9edca,unknown,2026-04-06T12:23:07.272123Z,2026-04-06T12:47:35.515Z,2.20,0.19,2.39
1220662a26626e57512bc739a10b76b67501e7c8f59f82bb621a328ca39a2056e0bd,unknown,2026-04-06T12:23:09.934156Z,2026-04-06T12:47:35.515Z,2.20,0.19,2.39
1220af50ec55a2540c2f9edde947c0fcb9731ee1ca3cad372f55e194c35232e95819,unknown,2026-04-06T12:23:12.816011Z,2026-04-06T12:47:35.564Z,2.20,0.19,2.39
1220bbf6ca075a060867ded28e40dddec02ea7d486eb6934657fccb822cd65fcf9eb,unknown,2026-04-06T12:23:13.763895Z,2026-04-06T12:47:35.564Z,2.83,0.19,3.02
1220c0ae327c60533da64ae816d2ea0d7d2d85850e130c78f36c49215082fcf96b49,unknown,2026-04-06T12:23:15.656358Z,2026-04-06T12:47:35.590Z,2.20,0.19,2.39
12206272a970202517405e298862b76a60a01c861d514757bb8a1790525b867970cd,unknown,2026-04-06T12:23:18.709141Z,2026-04-06T12:47:35.621Z,2.20,0.19,2.39
1220c1f68726d76fc6a54da303334f42d9c7679fb79a69c15ca332405f6f562da2b3,reward_coupon,2026-04-06T12:23:20.053536Z,2026-04-06T12:47:35.623Z,1.69,0.19,1.89
1220973baca5b23eea58ae2c66d209c6112d5903b6e6089c60552396099ab9d2706a,unknown,2026-04-06T12:23:21.957672Z,2026-04-06T12:47:35.670Z,2.20,0.19,2.39
1220b210c5085b781e9414bf932ddcb9aff3d1d44af75a59772ee930c8cef1e9c0ea,unknown,2026-04-06T12:23:23.740116Z,2026-04-06T12:47:35.672Z,2.83,0.19,3.03
1220d4afdf0e2c902f4fe220ad7fa513a9dc2fede81d5c25776374ef3c92082a88b5,unknown,2026-04-06T12:23:24.793734Z,2026-04-06T12:47:35.697Z,2.20,0.19,2.39
12204c2eacc15435c4f19c0a155bb8ab1a7c059eb6fc76c4ffdfa1f473b2b818f35e,reward_coupon,2026-04-06T12:23:25.576478Z,2026-04-06T12:47:35.728Z,11.32,0.19,11.51
1220c93f6b9e1bb84e663b4bef7f19d1e68932570b9399a1ec87496bd0125a7a7da0,unknown,2026-04-06T12:23:27.611926Z,2026-04-06T12:47:35.729Z,2.20,0.19,2.39
12209dd336a6ad9f584ca1a6a0fa053ee6a965974c2adba7390be3fa40f874755d50,unknown,2026-04-06T12:23:30.606716Z,2026-04-06T12:47:35.778Z,2.20,0.19,2.39
12208150f4fe38318fe68958b96f58ae63f96f54e6560013bbc9f125f44dc3f79993,reward_coupon,2026-04-06T12:23:31.615124Z,2026-04-06T12:47:35.780Z,8.91,0.19,9.11
1220007840efd423426d8b8c24ade8893f02c212741564865c839350913cae78312f,unknown,2026-04-06T12:23:33.633795Z,2026-04-06T12:47:35.802Z,2.20,0.19,2.39
1220281da4ca3e0cabcc50155696b1e46b81d8bc1995c705d6b6d87b46a389a0aaaa,unknown,2026-04-06T12:23:33.824105Z,2026-04-06T12:47:35.835Z,2.83,0.19,3.03
12202c9986426b75248f5071c279c210250248e63157f0a3de1bcddf37e0012065fb,reward_coupon,2026-04-06T12:23:35.115652Z,2026-04-06T12:47:35.836Z,1.69,0.19,1.89
1220c884c9f9640b98850d77633bfe0ac8d35a6fe71e53134766571e1c06a9a33b30,unknown,2026-04-06T12:23:36.516116Z,2026-04-06T12:47:35.884Z,2.20,0.19,2.39
122056dafd74870b180f7b286188f1ee6e91ea8e635d5c696348481533df66ff8485,reward_coupon,2026-04-06T12:23:39.304330Z,2026-04-06T12:47:35.889Z,10.84,0.19,11.03
1220baa09496329d2fc35b34b36dd4782c356bc580ca6c7eca361aa668493fe55126,unknown,2026-04-06T12:23:39.932089Z,2026-04-06T12:47:35.909Z,2.20,0.19,2.39
1220bdc9f4babafd0d1da2731c21c94ec197da43efe5477090a27c74f117f93745b8,reward_coupon,2026-04-06T12:23:42.498870Z,2026-04-06T12:47:35.942Z,8.43,0.19,8.63
1220596bd7b7629b557cd719ae553dc2e8901a107d80e809003bc6c70d5e9a060f20,reward_coupon,2026-04-06T12:23:42.598733Z,2026-04-06T12:47:35.944Z,14.69,0.19,14.88
12204ba951c039e3ae56525b17d14a5852b532475fd291160549a07effb2c880bfb7,reward_coupon,2026-04-06T12:23:43.487390Z,2026-04-06T12:47:35.992Z,11.80,0.19,12.00
12202ff517504cb100aa576693e339ce8c381372ed703d1e3d887b602b7a4a91f3b4,unknown,2026-04-06T12:23:43.772382Z,2026-04-06T12:47:35.996Z,2.83,0.19,3.03
1220612b93d6ffb2e5da3e87226b3fc9434884b1fc3b8b1e8b6def588484bf5f7341,unknown,2026-04-06T12:23:44.986726Z,2026-04-06T12:47:36.015Z,2.20,0.19,2.39
122002e15ce1c94a6dba7e40a2125741cdc2f478585506ca086ec8d7ae5abdbde4aa,unknown,2026-04-06T12:23:48.138461Z,2026-04-06T12:47:36.049Z,2.20,0.19,2.39
1220e6236ef86de4abb33b9b51521e063a2284316a12a7b5c00660250df70dd09d2c,reward_coupon,2026-04-06T12:23:48.179023Z,2026-04-06T12:47:36.053Z,8.43,0.19,8.63
122074b68fac0e0dd40dccbf339c6aa4864e552dd334a1ab2092bacd55c525fcffdf,reward_coupon,2026-04-06T12:23:50.048976Z,2026-04-06T12:47:36.097Z,1.69,0.19,1.89
1220824daf50ee2aa84280cfc40b7cd063b0d7a0dd1c3c1595f203d234c1477b5284,reward_coupon,2026-04-06T12:23:50.827868Z,2026-04-06T12:47:36.104Z,9.40,0.19,9.59
1220c6f407d4bcaaf3cc58c26d34f3203470fc94951afec71f1d3f32c8652680096e,unknown,2026-04-06T12:23:51.175454Z,2026-04-06T12:47:36.121Z,2.20,0.19,2.39
12204139856c1310632cf3b2b0627cfff4383f6b408e008d9e082f449ea6f10347a7,reward_coupon,2026-04-06T12:23:51.447888Z,2026-04-06T12:47:36.156Z,9.88,0.19,10.07
1220dbc21de1dd43ba4febf0b6c35957eb7690cd299e26430a42fcb8d66e6ef35768,reward_coupon,2026-04-06T12:23:52.265306Z,2026-04-06T12:47:36.162Z,10.84,0.19,11.03
1220045f51eb946d969ac48347243faf1dd9fbfe833b0bf9c80a0736c534a307a667,unknown,2026-04-06T12:23:53.780034Z,2026-04-06T12:47:36.204Z,2.83,0.19,3.02
122019825aa4fe2be640857be6f5233312801aafaf10f58aab5c19488239567c9aa6,unknown,2026-04-06T12:23:54.058650Z,2026-04-06T12:47:36.211Z,2.20,0.19,2.39
12209d6b69d9184651f94a3810d3ba6fe6dc56a75ed921d0828d10064d2b31c442a7,reward_coupon,2026-04-06T12:23:56.850198Z,2026-04-06T12:47:36.229Z,9.39,0.19,9.59
12208208afacd62c82f3ac384c0fae72a135381a3e4a54348aa659636b0e01ac1a23,unknown,2026-04-06T12:23:57.261471Z,2026-04-06T12:47:36.264Z,2.20,0.19,2.39
1220276845a0a7295f855cabc6904c3dfccbd037fa210aedfb822f6b890adf238543,unknown,2026-04-06T12:24:00.194604Z,2026-04-06T12:47:36.269Z,2.20,0.19,2.39
1220b4c8cb0d59acb292cdc70479a86d4d7d4b6581e06ef34460728a4562af8edb3c,unknown,2026-04-06T12:24:03.196569Z,2026-04-06T12:47:36.311Z,2.20,0.19,2.39
1220c08a5063a8ed8f10b9da2385b014242eefe8fb6c7d367968082beb79268e706c,unknown,2026-04-06T12:24:03.802287Z,2026-04-06T12:47:36.321Z,2.83,0.19,3.03
122023f3fdb18f9408d3dae68c124a45af0c05f16d0e94f0053c6ddf42fb4e66cc8e,reward_coupon,2026-04-06T12:24:05.092047Z,2026-04-06T12:47:36.336Z,1.69,0.19,1.89
12200d898a56ab6638fcb52970846f30070c5b6717d8f5f2f72e18d6f1537e00edca,unknown,2026-04-06T12:24:06.567131Z,2026-04-06T12:47:36.370Z,2.20,0.19,2.39
1220ef2a50b243cceeb374d23f28826c7f4ae250adde5ffebbac11e41830ea24fc8e,reward_coupon,2026-04-06T12:24:07.043490Z,2026-04-06T12:47:36.376Z,8.43,0.19,8.63
1220cc1f952847508d1cbb6f2bc27df7def579f49622058707a7c880259e987348db,unknown,2026-04-06T12:24:09.641721Z,2026-04-06T12:47:36.417Z,2.20,0.19,2.39
12208fa14957b31f0cc9951d7d1ea1ee595fb06fe2cab427d0a383298d635c8d56b9,reward_coupon,2026-04-06T12:24:11.388535Z,2026-04-06T12:47:36.427Z,12.76,0.19,12.96
1220e839ee01ca71c4c3cee230a72bc2a1497ee703add3eac782029822db5fc2a205,unknown,2026-04-06T12:24:12.871619Z,2026-04-06T12:47:36.445Z,2.20,0.19,2.39
1220d4da4867ee33a3caa0eb6e64406c3f83ddaffc8815315d482368e1af6fd4e8d0,unknown,2026-04-06T12:24:13.796746Z,2026-04-06T12:47:36.478Z,2.83,0.19,3.03
