update_id,tx_type,effective_at,fetched_at,request_body_kb,response_body_kb,request_headers_kb,response_headers_kb,base_kb,extra_kb,total_kb
12205843bcb8ce53ce0afd9b6a3be0569b23d0d94146524dc821bfea3666734cc97a,reward_coupon,2026-04-04T07:05:59.988918Z,2026-04-04T07:31:28.772Z,0.19,2.17,0.79,0.12,2.37,0.91,3.28
1220046c2cdaf4ea5c7fed198ee8b2b4b85966eeed8b731a9b2d7a2f2cee7ab17ef8,unknown,2026-04-04T07:05:59.632049Z,2026-04-04T07:31:28.772Z,0.19,2.83,0.79,0.12,3.03,0.91,3.93
12201d8d553cacd7f156d5061965c3892452b641fc90848910c3508fee6765e688f1,reward_coupon,2026-04-04T07:06:00.964148Z,2026-04-04T07:31:28.798Z,0.19,6.03,0.79,0.12,6.23,0.91,7.13
1220f7b41944255781b07cbfc4ed71b0905e8fb05803c365eb77db548377a75992d4,unknown,2026-04-04T07:06:01.541091Z,2026-04-04T07:31:28.842Z,0.19,2.20,0.79,0.12,2.39,0.91,3.30
1220f9f40b2ca42f36e167c6f7a5679144c392f4bcdd6a8c435ddfe58f3a4a5ae341,unknown,2026-04-04T07:06:04.607409Z,2026-04-04T07:31:28.860Z,0.19,2.83,0.79,0.12,3.03,0.91,3.93
1220f1e31bac7cdf756e636c7dca172be5e0ee9103f169f9a24670ad32ad5e77d48f,reward_coupon,2026-04-04T07:06:02.965898Z,2026-04-04T07:31:28.860Z,0.19,5.07,0.79,0.12,5.26,0.91,6.17
1220a9aec717192c5dafd3d00df33c8a679b4236414a7c24d708968006e229939414,unknown,2026-04-04T07:06:04.076926Z,2026-04-04T07:31:28.860Z,0.19,2.20,0.79,0.12,2.39,0.91,3.30
1220d5e53287d7d51b58f08d71b186c331b3836fc391801b3b768deb6766763fae12,unknown,2026-04-04T07:06:07.769650Z,2026-04-04T07:31:28.889Z,0.19,2.20,0.79,0.12,2.39,0.91,3.30
1220aa3f12d88da21e5e57474476984cbf827d977f63429961694350d99f4d1fcf1b,reward_coupon,2026-04-04T07:06:07.634633Z,2026-04-04T07:31:28.936Z,0.19,2.17,0.79,0.12,2.37,0.91,3.28
122067d3d3949861aadaaa5c453ba5d13df4a74fa8f4e586da9c986669d728daff39,unknown,2026-04-04T07:06:11.316927Z,2026-04-04T07:31:28.949Z,0.19,2.20,0.79,0.12,2.39,0.91,3.30
12209e9dd0879c8bf8f43de0fe8a2d3b3056a1317b81e420b79c3aec4a0599612be0,reward_coupon,2026-04-04T07:06:10.758437Z,2026-04-04T07:31:28.949Z,0.19,4.58,0.79,0.12,4.78,0.91,5.69
122020769297eb45692d440c3389306f9762ed80e35a688fc78d57a8db152e11564a,unknown,2026-04-04T07:06:09.612279Z,2026-04-04T07:31:28.949Z,0.19,2.83,0.79,0.12,3.03,0.91,3.93
1220a0f18ae91e959498aa5e97e5a081074b6c18ecf4e17cffc18b71d8bf7d33492e,unknown,2026-04-04T07:06:14.388631Z,2026-04-04T07:31:28.980Z,0.19,2.20,0.79,0.12,2.39,0.91,3.30
1220428d85798b5a09d6e13e37b22ff7c23ceb209d4d4a6de7fd269997755f15e269,unknown,2026-04-04T07:06:14.613494Z,2026-04-04T07:31:29.027Z,0.19,2.83,0.79,0.12,3.03,0.91,3.93
12207f9f459eb6f30c544f41642f5f1e729a758627410effa7ec1a68bcfdad097378,unknown,2026-04-04T07:06:17.270703Z,2026-04-04T07:31:29.037Z,0.19,2.20,0.79,0.12,2.39,0.91,3.30
12201967671bc827737fa8d1ff456ff6263689c7bc131b5ce89c0e53188598c8c7b1,unknown,2026-04-04T07:06:19.614024Z,2026-04-04T07:31:29.038Z,0.19,2.83,0.79,0.12,3.03,0.91,3.93
1220ae8402a3dc3d9ce09bf6d27a7094d7be5b504541316decd92e7e2b0a14154025,reward_coupon,2026-04-04T07:06:17.542054Z,2026-04-04T07:31:29.038Z,0.19,5.55,0.79,0.12,5.75,0.91,6.65
1220953569414563879775691552923ac59518d82f74622afb2ed74380bba367a72d,unknown,2026-04-04T07:06:19.828466Z,2026-04-04T07:31:29.071Z,0.19,2.20,0.79,0.12,2.39,0.91,3.30
1220b40a530e099cf94683c045f802e89d569b49ff9ab52e886478fe2fcfc71c91fd,unknown,2026-04-04T07:06:22.269782Z,2026-04-04T07:31:29.118Z,0.19,2.20,0.79,0.12,2.39,0.91,3.30
122016b2907cf6af9c60d787752006ec2179e2c88f1d8f0e337bda1279847e45b192,unknown,2026-04-04T07:06:27.822479Z,2026-04-04T07:31:29.126Z,0.19,2.20,0.79,0.12,2.39,0.91,3.30
12202e093e8bb79ffa11500a70edce2b71453fac81f3f98d6c739fccc7c61da6667a,unknown,2026-04-04T07:06:25.254929Z,2026-04-04T07:31:29.126Z,0.19,2.20,0.79,0.12,2.39,0.91,3.30
1220921bd3a65209cebbe9d77ca49c10bbaa63cbb9acf556dfbcd4139d732c38aad5,unknown,2026-04-04T07:06:24.614804Z,2026-04-04T07:31:29.126Z,0.19,2.83,0.79,0.12,3.03,0.91,3.93
1220a91d491866e747a5211fd2c077a597ff0b1b64d5393c3865f529115019edd542,unknown,2026-04-04T07:06:29.618517Z,2026-04-04T07:31:29.164Z,0.19,2.83,0.79,0.12,3.02,0.91,3.93
122085fc981706967cbb8095c29c86923cd59fab25378b9a4063ffecaf5685f38b98,unknown,2026-04-04T07:06:30.317560Z,2026-04-04T07:31:29.209Z,0.19,2.20,0.79,0.12,2.39,0.91,3.30
